152.17 0.00
152.17 354.43
86.96 354.43
86.96 620.25
239.13 620.25
239.13 0.00
413.04 0.00
413.04 177.22
326.09 177.22
326.09 430.38
402.17 430.38
402.17 506.33
608.70 506.33
608.70 379.75
489.13 379.75
489.13 240.51
641.30 240.51
641.30 126.58
532.61 126.58
532.61 0.00
728.26 0.00
728.26 202.53
902.17 202.53
902.17 101.27
815.22 101.27
815.22 0.00
1000.0 0.00
1000.0 329.11
728.26 329.11
728.26 443.04
1000.0 443.04
1000.0 544.30
684.78 544.30
684.78 797.47
880.43 797.47
880.43 632.91
1000.0 632.91
1000.0 1000.00
608.70 1000.00
608.70 898.73
445.65 898.73
445.65 734.18
543.48 734.18
543.48 632.91
358.70 632.91
358.70 1000.00
195.65 1000.00
195.65 873.42
260.87 873.42
260.87 772.15
119.57 772.15
119.57 1000.00
0.00 1000.00
0.00 0.00
